Nombre_Universidad;Distrito;Provincia;Departamento;Gestión
Universidad Nacional Mayor de San Marcos;LIMA;LIMA;LIMA;Público
Universidad Nacional de San Cristóbal de Huamanga;AYACUCHO;HUAMANGA;AYACUCHO;Público
Universidad Nacional de San Antonio Abad del Cusco;ANDAHUAYLAS;ANDAHUAYLAS;APURIMAC;Público
Universidad Nacional de Trujillo;TRUJILLO;TRUJILLO;LA LIBERTAD;Público
Universidad Nacional de San Agustín de Arequipa;AREQUIPA;AREQUIPA;AREQUIPA;Público
Universidad Nacional de Ingeniería;LA MOLINA;LIMA;LIMA;Público
Universidad Nacional Agraria La Molina;LA MOLINA;LIMA;LIMA;Público
Universidad Nacional San Luis Gonzaga de Ica;ICA;ICA;ICA;Público
Universidad Nacional del Centro del Perú;EL TAMBO;HUANCAYO;JUNIN;Público
Universidad Nacional de la Amazonía Peruana;IQUITOS;MAYNAS;LORETO;Público
Universidad Nacional del Altiplano;PUNO;PUNO;PUNO;Público
Universidad Nacional de Piura;CASTILLA;PIURA;PIURA;Público
Universidad Nacional de Cajamarca;CAJAMARCA;CAJAMARCA;CAJAMARCA;Público
Universidad Nacional Federico Villarreal;LIMA;LIMA;LIMA;Público
Universidad Nacional Agraria de la Selva;RUPA-RUPA;LEONCIO PRADO;HUANUCO;Público
Universidad Nacional Hermilio Valdizán de Huánuco;CHURUBAMBA;HUANUCO;HUANUCO;Público
Universidad Nacional de Educación Enrique Guzmán y Valle;LA MOLINA;LIMA;LIMA;Público
Universidad Nacional Daniel Alcides Carrión;CHANCHAMAYO;CHANCHAMAYO;JUNIN;Público
Universidad Nacional del Callao;BELLAVISTA;CALLAO;CALLAO;Público
Universidad Nacional José Faustino Sánchez Carrión;HUACHO;HUAURA;LIMA;Público
Universidad Nacional Pedro Ruiz Gallo;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;Público
Universidad Nacional Jorge Basadre Grohmann;TACNA;TACNA;TACNA;Público
Universidad Nacional Santiago Antúnez de Mayolo;HUARAZ;HUARAZ;ANCASH;Público
Universidad Nacional de San Martín;MOYOBAMBA;MOYOBAMBA;SAN MARTIN;Público
Universidad Nacional de Ucayali;CALLERIA;CORONEL PORTILLO;UCAYALI;Público
Universidad Nacional de Tumbes;TUMBES;TUMBES;TUMBES;Público
Universidad Nacional del Santa;NUEVO CHIMBOTE;SANTA;ANCASH;Público
Universidad Nacional de Huancavelica;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;Público
