Año;Nombre_Universidad;Cantidad_Profesores_Contratados;Matriculados_en_el_año;Tipo_Modalidad
2020;Universidad Nacional Mayor de San Marcos;3858;33237;Virtual
2020;Universidad Nacional de San Cristóbal de Huamanga;855;12767;Virtual
2020;Universidad Nacional de San Antonio Abad del Cusco;1410;20849;Virtual
2020;Universidad Nacional de Trujillo;1157;15032;Virtual
2020;Universidad Nacional de San Agustín de Arequipa;3290;26403;Virtual
2020;Universidad Nacional de Ingeniería;1277;12721;Virtual
2020;Universidad Nacional Agraria La Molina;509;16883;Virtual
2020;Universidad Nacional San Luis Gonzaga de Ica;876;11428;Virtual
2020;Universidad Nacional del Centro del Perú;789;5938;Virtual
2020;Universidad Nacional de la Amazonía Peruana;702;9628;Virtual
2020;Universidad Nacional del Altiplano;1376;18178;Virtual
2020;Universidad Nacional de Piura;618;11664;Virtual
2020;Universidad Nacional de Cajamarca;904;10686;Virtual
2020;Universidad Nacional Federico Villarreal;1799;17372;Virtual
2020;Universidad Nacional Agraria de la Selva;252;8907;Virtual
2020;Universidad Nacional Hermilio Valdizán de Huánuco;579;2611;Virtual
2020;Universidad Nacional de Educación Enrique Guzmán y Valle;874;6892;Virtual
2020;Universidad Nacional Daniel Alcides Carrión;474;9855;Virtual
2020;Universidad Nacional del Callao;436;13402;Virtual
2020;Universidad Nacional José Faustino Sánchez Carrión;838;11748;Virtual
2020;Universidad Nacional Pedro Ruiz Gallo;771;0;Virtual
2020;Universidad Nacional Jorge Basadre Grohmann;631;7680;Virtual
2020;Universidad Nacional Santiago Antúnez de Mayolo;504;6902;Virtual
2020;Universidad Nacional de San Martín;359;5764;Virtual
2020;Universidad Nacional de Ucayali;302;5566;Virtual
2020;Universidad Nacional de Tumbes;330;4444;Virtual
2020;Universidad Nacional del Santa;342;4543;Virtual
2020;Universidad Nacional de Huancavelica;407;4573;Virtual
2020;Universidad Nacional Amazónica de Madre de Dios;257;3859;Virtual
2020;Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas;344;4173;Virtual
2020;Universidad Nacional Micaela Bastidas de Apurímac;292;4074;Virtual
2020;Universidad Nacional Intercultural de la Amazonía;129;1941;Virtual
2020;Universidad Nacional Tecnológica de Lima Sur;168;2700;Virtual
2020;Universidad Nacional José María Arguedas;124;1939;Virtual
2020;Universidad Nacional de Moquegua;181;1987;Virtual
2020;Universidad Nacional de Juliaca;123;2015;Virtual
2020;Universidad Nacional de Jaén;138;2180;Virtual
2020;Universidad Nacional de Frontera;82;1753;Virtual
2020;Universidad Nacional Autónoma de Chota;126;2061;Virtual
2020;Universidad Nacional de Barranca;192;1781;Virtual
2020;Universidad Nacional de Cañete;124;1100;Virtual
2020;Universidad Nacional Intercultural Fabiola Salazar Leguía de Bagua;27;372;Virtual
2020;Universidad Nacional Intercultural de la Selva Central Juan Santos Atahualpa;57;920;Virtual
2020;Universidad Nacional Intercultural de Quillabamba;33;319;Virtual
2020;Universidad Nacional Autónoma de Alto Amazonas;34;634;Virtual
2020;Universidad Nacional Autónoma Altoandina de Tarma;22;200;Virtual
2020;Universidad Nacional Autónoma de Huanta;34;544;Virtual
2020;Universidad Nacional Autónoma de Tayacaja Daniel Hernández Morillo;25;386;Virtual
2020;Universidad Nacional Ciro Alegría;0;0;Virtual
2020;Pontificia Universidad Católica del Perú;2354;27002;Virtual
2020;Universidad Peruana Cayetano Heredia;1395;6050;Virtual
2020;Universidad Católica de Santa María;766;17052;Virtual
2020;Universidad del Pacífico;921;4714;Virtual
2020;Universidad de Lima;1158;24436;Virtual
2020;Universidad de San Martín de Porres;2483;34104;Virtual
2020;Universidad Femenina del Sagrado Corazón;411;3711;Virtual
2020;Universidad Inca Garcilaso de la Vega Asociación Civil;0;6273;Virtual
2020;Universidad de Piura;690;9333;Virtual
2020;Universidad Ricardo Palma;1135;13003;Virtual
2020;Universidad Andina Néstor Cáceres Velásquez;598;19457;Virtual
2020;Universidad Peruana Los Andes;1082;18797;Virtual
2020;Universidad Peruana Unión;642;10196;Virtual
2020;Universidad Andina del Cusco;969;21417;Virtual
2020;Universidad Tecnológica de los Andes;431;11282;Virtual
2020;Universidad Privada de Tacna;517;7819;Virtual
2020;Universidad Particular de Chiclayo;326;2503;Virtual
2020;Universidad San Pedro;463;10564;Virtual
2020;Universidad Privada Antenor Orrego;1169;24513;Virtual
2020;Universidad de Huánuco;613;14472;Virtual
2020;Universidad José Carlos Mariátegui;242;6124;Virtual
2020;Universidad Marcelino Champagnat;70;1766;Virtual
2020;Universidad Científica del Perú;437;4801;Virtual
2020;Universidad César Vallejo S.A.C.;3043;112934;Virtual
2020;Universidad Católica Los Ángeles de Chimbote;797;28271;Virtual
2020;Universidad Peruana de Ciencias Aplicadas S.A.C.;4307;68784;Virtual
2020;Universidad Privada del Norte S.A.C.;2631;99643;Virtual
2020;Universidad San Ignacio de Loyola S.A.;1074;20680;Virtual
2020;Universidad Alas Peruanas S.A.;549;0;Virtual
2020;Universidad Privada Norbert Wiener S.A.;801;0;Virtual
2020;Universidad Católica San Pablo;509;8855;Virtual
2020;Grupo Educativo Universidad Privada de Ica S.A.C.;28;219;Virtual
2020;Universidad Privada San Juan Bautista S.A.C.;2280;17497;Virtual
2020;Universidad Tecnológica del Perú S.A.C.;4063;90098;Virtual
2020;Universidad Continental S.A.C.;1328;41128;Virtual
2020;Universidad Científica del Sur S.A.C.;1256;11205;Virtual
2020;Universidad Católica Santo Toribio de Mogrovejo;753;9690;Virtual
2020;Universidad Privada Antonio Guillermo Urrelo S.A.C.;160;2578;Virtual
2020;Universidad Católica Sedes Sapientiae;541;10296;Virtual
2020;Universidad Señor de Sipán S.A.C.;519;15859;Virtual
2020;Universidad Católica de Trujillo Benedicto XVI;222;3021;Virtual
2020;Universidad Peruana de las Américas S.A.C.;120;2298;Virtual
2020;Universidad ESAN;338;4505;Virtual
2020;Universidad Antonio Ruiz de Montoya;241;1968;Virtual
2020;Universidad Peruana de Ciencias e Informática S.A.C.;61;1053;Virtual
2020;Universidad para el Desarrollo Andino;18;521;Virtual
2020;Universidad Privada Telesup S.A.C.;0;0;Virtual
2020;Universidad Privada Sergio Bernales S.A.;13;171;Virtual
2020;Universidad Privada de Pucallpa S.A.C.;51;637;Virtual
2020;Universidad Autónoma de Ica S.A.C.;70;998;Virtual
2020;Universidad Privada de Trujillo;0;0;Virtual
2020;Universidad Privada San Carlos S.A.C.;94;2540;Virtual
2020;Universidad Peruana Simón Bolívar S.A.C.;20;128;Virtual
2020;Universidad Peruana de Integración Global S.A.C.;9;90;Virtual
2020;Universidad Peruana del Oriente S.A.C.;38;68;Virtual
2020;Universidad Autónoma del Perú S.A.C.;263;7172;Virtual
2020;Asociación Civil Universidad de Ciencias y Humanidades;167;0;Virtual
2020;Universidad Privada Juan Mejía Baca S.A.C.;18;106;Virtual
2020;Universidad Jaime Bausate y Meza;91;1504;Virtual
2020;Universidad Peruana del Centro;46;727;Virtual
2020;Universidad Privada Arzobispo Loayza S.A.C.;12;98;Virtual
2020;Universidad Le Cordon Bleu S.A.C.;70;844;Virtual
2020;Universidad Privada de Huancayo Franklin Roosevelt S.A.C.;199;4537;Virtual
2020;Universidad de Lambayeque S.A.C.;0;0;Virtual
2020;Universidad de Ciencias y Artes de América Latina S.A.C.;170;1920;Virtual
2020;Universidad Peruana de Arte Orval S.A.C.;0;0;Virtual
2020;Universidad Privada de la Selva Peruana S.A.C.;21;390;Virtual
2020;Universidad Ciencias de la Salud S.A.C.;4;48;Virtual
2020;Universidad de Ayacucho Federico Froebel S.A.C.;14;142;Virtual
2020;Universidad Peruana de Investigación y Negocios S.A.C.;24;74;Virtual
2020;Universidad Peruana Austral del Cusco S.A.C.;24;409;Virtual
2020;Universidad Autónoma San Francisco S.A.C.;24;280;Virtual
2020;Universidad San Andrés S.A.C.;24;223;Virtual
2020;Universidad Interamericana para el Desarrollo S.A.C.;0;0;Virtual
2020;Universidad Privada Juan Pablo II S.A.C.;0;0;Virtual
2020;Universidad Privada Leonardo Da Vinci S.A.C.;0;0;Virtual
2020;Universidad de Ingeniería y Tecnología;220;2878;Virtual
2020;Universidad La Salle;92;1317;Virtual
2020;Universidad Latinoamericana CIMA S.A.C.;53;686;Virtual
2020;Universidad Privada Autónoma del Sur S.A.C.;25;279;Virtual
2020;Universidad María Auxiliadora S.A.C.;84;3149;Virtual
2020;Universidad Politécnica Amazónica S.A.C.;49;724;Virtual
2020;Universidad Santo Domingo de Guzmán S.A.C.;18;209;Virtual
2020;Universidad Marítima del Perú S.A.C.;15;67;Virtual
2020;Universidad Privada Líder Peruana S.A.C.;22;401;Virtual
2020;Universidad Privada Peruano Alemana S.A.C.;0;0;Virtual
2020;Universidad Global del Cusco S.A.C.;13;86;Virtual
2020;Universidad Peruana Santo Tomás de Aquino de Ciencia e Integración S.A.C.;0;0;Virtual
2020;Universidad Privada SISE S.A.C.;0;0;Virtual
2020;Universidad Seminario Evangélico de Lima;16;86;Virtual
2020;Universidad Seminario Bíblico Andino;12;116;Virtual
2020;Facultad de Teología Pontificia y Civil de Lima;40;342;Virtual
2021;Universidad Nacional Mayor de San Marcos;5504;32784;Semi-presencial
2021;Universidad Nacional de San Cristóbal de Huamanga;0;12209;Virtual
2021;Universidad Nacional de San Antonio Abad del Cusco;1256;21713;Virtual
2021;Universidad Nacional de Trujillo;0;14160;Semi-presencial
